No.,Time,Source,Destination,Protocol,Length,Info
90,40.060777,69:dd:e9:ad:2d:38,41:48:9e:79:1b:32,LE LL,38,SCAN_REQ
91,40.420373,b6:20:3d:d7:d3:24,76:6d:21:1a:23:26,LE LL,38,SCAN_REQ
92,40.789433,12:9a:81:22:80:1b,76:6d:21:1a:23:26,LE LL,38,SCAN_REQ
93,41.234839,69:dd:e9:ad:2d:38,SamsungE_c5:77:28,LE LL,38,SCAN_REQ
94,41.319568,fd:47:01:cb:1e:1b,72:96:f7:6a:a3:db,LE LL,38,SCAN_REQ
95,41.514208,0b:b9:1a:2c:15:57,SamsungE_c5:77:28,LE LL,38,SCAN_REQ
96,41.739533,b6:20:3d:d7:d3:24,66:14:d0:96:48:1c,LE LL,38,SCAN_REQ
97,41.879176,15:e4:9e:42:ea:7d,43:6c:58:52:5a:e1,LE LL,38,SCAN_REQ
98,42.045202,12:9a:81:22:80:1b,5c:ee:d8:ba:28:0f,LE LL,38,SCAN_REQ
99,44.055495,69:dd:e9:ad:2d:38,6d:a8:ea:8d:01:44,LE LL,38,SCAN_REQ
100,46.770596,12:9a:81:22:80:1b,73:bc:60:68:0a:ab,LE LL,38,SCAN_REQ
101,46.989433,12:9a:81:22:80:1b,66:14:d0:96:48:1c,LE LL,38,SCAN_REQ
102,47.060389,7f:9e:55:97:1c:b8,41:48:9e:79:1b:32,LE LL,38,SCAN_REQ
103,47.426711,1e:65:2e:c1:52:d0,5c:ee:d8:ba:28:0f,LE LL,38,SCAN_REQ
104,48.412834,b6:20:3d:d7:d3:24,66:14:d0:96:48:1c,LE LL,38,SCAN_REQ
105,49.414217,0b:b9:1a:2c:15:57,Logitech_ec:03:df,LE LL,38,SCAN_REQ
106,50.049479,4c:96:a2:b8:5a:d7,73:bc:60:68:0a:ab,LE LL,38,SCAN_REQ
107,50.095681,4c:96:a2:b8:5a:d7,5b:1a:e6:ad:15:7e,LE LL,38,SCAN_REQ
108,50.461675,ce:8d:7e:11:e3:f2,GeberitI_01:07:a2,LE LL,38,SCAN_REQ
109,50.635585,12:9a:81:22:80:1b,66:14:d0:96:48:1c,LE LL,38,SCAN_REQ
110,50.808896,12:9a:81:22:80:1b,76:6d:21:1a:23:26,LE LL,38,SCAN_REQ
111,51.594226,99:67:d9:e5:6f:95,41:48:9e:79:1b:32,LE LL,38,SCAN_REQ
112,52.050085,fd:47:01:cb:1e:1b,5c:ee:d8:ba:28:0f,LE LL,38,SCAN_REQ
113,52.140348,12:9a:81:22:80:1b,72:96:f7:6a:a3:db,LE LL,38,SCAN_REQ
114,52.148501,fd:47:01:cb:1e:1b,67:d3:87:60:6a:2f,LE LL,38,SCAN_REQ
115,52.357739,4c:96:a2:b8:5a:d7,75:9f:97:20:46:93,LE LL,38,SCAN_REQ
116,52.782242,1e:65:2e:c1:52:d0,Logitech_ec:03:df,LE LL,38,SCAN_REQ
117,53.057557,ce:8d:7e:11:e3:f2,44:1a:23:06:71:be,LE LL,38,SCAN_REQ
118,53.070910,4c:96:a2:b8:5a:d7,56:67:f4:4c:a3:c8,LE LL,38,SCAN_REQ
119,53.149875,b6:20:3d:d7:d3:24,5b:1a:e6:ad:15:7e,LE LL,38,SCAN_REQ
120,53.223099,fd:47:01:cb:1e:1b,66:14:d0:96:48:1c,LE LL,38,SCAN_REQ
121,53.476418,5b:a9:bc:8d:eb:e2,52:d7:13:9f:02:2b,LE LL,38,SCAN_REQ
122,54.159705,7f:9e:55:97:1c:b8,GeberitI_01:07:a2,LE LL,38,SCAN_REQ
123,54.413232,99:67:d9:e5:6f:95,79:4b:6c:4f:27:03,LE LL,38,SCAN_REQ
124,55.377687,0b:b9:1a:2c:15:57,43:6c:58:52:5a:e1,LE LL,38,SCAN_REQ
125,56.573684,7f:9e:55:97:1c:b8,52:d7:13:9f:02:2b,LE LL,38,SCAN_REQ
