id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P_1-2_568_B_8TUVEYAX,19801.0,25200.0,5400.0,P_1-2_568,Bluetooth,5400.0,1.0
P_1-2_573_B_I74X2I1F,18462.0,25200.0,6739.0,P_1-2_573,Bluetooth,6739.0,1.0
P_1-2_5745_L_L190SNKG,19366.0,25200.0,5835.0,P_1-2_5745,LTE,6087.0,0.9586002957121735
P_1-2_5752_B_N17GXCIU,18936.0,25200.0,6265.0,P_1-2_5752,Bluetooth,6265.0,1.0
P_1-2_5753_L_SY9JOC8Q,18303.0,25200.0,6898.0,P_1-2_5753,LTE,6898.0,1.0
P_1-2_5765_L_72TZKGA0,19669.0,25200.0,5532.0,P_1-2_5765,LTE,5532.0,1.0
P_1-2_5927_L_L66YKDBB,18670.0,25200.0,6531.0,P_1-2_5927,LTE,6531.0,1.0
P_1-2_593_B_RREAKG15,18339.0,25200.0,6862.0,P_1-2_593,Bluetooth,6862.0,1.0
P_1-2_5943_L_HGNAX0ZE,18201.0,25200.0,7000.0,P_1-2_5943,LTE,7000.0,1.0
P_1-2_5951_B_8R6BRK67,18716.0,24271.0,5556.0,P_1-2_5951,Bluetooth,6485.0,0.8567463377023902
P_1-2_6013_L_LRGTG8BJ,19164.0,25200.0,6037.0,P_1-2_6013,LTE,6037.0,1.0
P_1-2_609_L_CX705C0A,18037.0,25200.0,7164.0,P_1-2_609,LTE,7164.0,1.0
P_1-2_638_B_PO29EV2S,18053.0,25200.0,7148.0,P_1-2_638,Bluetooth,7148.0,1.0
P_1-2_671_L_HVHAC675,19694.0,25200.0,5507.0,P_1-2_671,LTE,5507.0,1.0
P_1-2_752_L_VQM0BL3C,18492.0,25200.0,6709.0,P_1-2_752,LTE,6709.0,1.0
P_1-2_829_B_745NG0JM,18533.0,25200.0,6668.0,P_1-2_829,Bluetooth,6668.0,1.0
P_1-2_848_L_6O6DL5CO,18688.0,25200.0,6513.0,P_1-2_848,LTE,6513.0,1.0
P_1-2_960_B_H6V884YG,19380.0,25200.0,5821.0,P_1-2_960,Bluetooth,5821.0,1.0
P_1-3_1027_L_4BI91B7Z,18922.0,25200.0,6279.0,P_1-3_1027,LTE,6279.0,1.0
P_1-3_1140_B_CXR6P4R0,19162.0,25200.0,6039.0,P_1-3_1140,Bluetooth,6039.0,1.0
P_1-3_1213_B_QFGMS6L7,19799.0,25200.0,5402.0,P_1-3_1213,Bluetooth,5402.0,1.0
P_1-3_1324_B_1WOKDICT,19534.0,25200.0,5667.0,P_1-3_1324,Bluetooth,5667.0,1.0
P_1-3_1500_B_GVABPLXK,18550.0,25200.0,6651.0,P_1-3_1500,Bluetooth,6651.0,1.0
P_1-3_1535_B_Z6JBHVPQ,19784.0,25200.0,5417.0,P_1-3_1535,Bluetooth,5417.0,1.0
P_1-3_1571_L_RRSSPYB0,19633.0,25200.0,5568.0,P_1-3_1571,LTE,5568.0,1.0
P_1-3_1604_L_25VHH3N6,18561.0,25200.0,6640.0,P_1-3_1604,LTE,6640.0,1.0
P_1-3_1676_B_2C9COO38,19452.0,25200.0,5749.0,P_1-3_1676,Bluetooth,5749.0,1.0
P_1-3_17_B_BLA54NCE,18494.0,25200.0,6707.0,P_1-3_17,Bluetooth,6707.0,1.0
P_1-3_1737_L_C8NQWDC9,18725.0,25200.0,6476.0,P_1-3_1737,LTE,6476.0,1.0
P_1-3_1785_L_RM7CBI8U,18310.0,25200.0,6891.0,P_1-3_1785,LTE,6891.0,1.0
P_1-3_1945_L_UV3HL0K3,19514.0,25200.0,5687.0,P_1-3_1945,LTE,5687.0,1.0
P_1-3_2018_B_UX18E2N6,18032.0,25200.0,7169.0,P_1-3_2018,Bluetooth,7169.0,1.0
P_1-3_2043_B_HQHZ1XT0,19448.0,25200.0,5753.0,P_1-3_2043,Bluetooth,6656.0,0.8643329326923077
P_1-3_2053_B_GNGLX3WO,18633.0,25200.0,6568.0,P_1-3_2053,Bluetooth,6568.0,1.0
P_1-3_2076_B_1T5DZADA,18982.0,25200.0,6219.0,P_1-3_2076,Bluetooth,6219.0,1.0
P_1-3_2171_B_HY0MGECL,19293.0,25200.0,5908.0,P_1-3_2171,Bluetooth,5908.0,1.0
P_1-3_2180_L_HY55XWN6,18110.0,25200.0,7091.0,P_1-3_2180,LTE,7091.0,1.0
P_1-3_2187_B_3NH8T8V5,18518.0,25200.0,6683.0,P_1-3_2187,Bluetooth,6683.0,1.0
P_1-3_2221_B_F2XKTF05,18011.0,25200.0,7190.0,P_1-3_2221,Bluetooth,7190.0,1.0
P_1-3_2278_B_H01ZW5JB,18407.0,25200.0,6794.0,P_1-3_2278,Bluetooth,6794.0,1.0
P_1-3_228_L_NVR3XCQT,18933.0,25200.0,6268.0,P_1-3_228,LTE,6268.0,1.0
P_1-3_2280_B_3T8RNE2U,19266.0,25200.0,5935.0,P_1-3_2280,Bluetooth,5935.0,1.0
P_1-3_2323_L_2GJKN24S,18311.0,25200.0,6890.0,P_1-3_2323,LTE,6890.0,1.0
P_1-3_234_B_8D4ZOIIX,19253.0,25200.0,5948.0,P_1-3_234,Bluetooth,5948.0,1.0
P_1-3_2374_B_6ODAIHWX,18002.0,25200.0,7199.0,P_1-3_2374,Bluetooth,7199.0,1.0
P_1-3_2410_L_VPN7QXXV,18004.0,25200.0,7197.0,P_1-3_2410,LTE,7197.0,1.0
P_1-3_2421_B_HJE3RK6T,19597.0,25200.0,5604.0,P_1-3_2421,Bluetooth,5604.0,1.0
P_1-3_2424_B_2YS681YI,19299.0,25200.0,5902.0,P_1-3_2424,Bluetooth,5902.0,1.0
P_1-3_2454_B_ZAZ04OV8,18057.0,25200.0,7144.0,P_1-3_2454,Bluetooth,7144.0,1.0
P_1-3_2482_B_9VTBK06A,19739.0,25200.0,5462.0,P_1-3_2482,Bluetooth,5462.0,1.0
P_1-3_2528_B_P42MUYDX,19269.0,25200.0,5932.0,P_1-3_2528,Bluetooth,5932.0,1.0
P_1-3_2599_B_M8T5KA1T,19102.0,25200.0,6099.0,P_1-3_2599,Bluetooth,6099.0,1.0
P_1-3_2633_B_253OJN2A,19701.0,25200.0,5500.0,P_1-3_2633,Bluetooth,5500.0,1.0
P_1-3_2643_B_QTY0K583,19154.0,25200.0,6047.0,P_1-3_2643,Bluetooth,6047.0,1.0
P_1-3_268_B_WU11RJS7,18061.0,25200.0,7140.0,P_1-3_268,Bluetooth,7140.0,1.0
P_1-3_2745_B_AECHSLL2,19760.0,25200.0,5441.0,P_1-3_2745,Bluetooth,5441.0,1.0
P_1-3_2773_B_NVW1WPFO,19440.0,25200.0,5761.0,P_1-3_2773,Bluetooth,5761.0,1.0
P_1-3_2786_B_XVM53HYQ,19683.0,25200.0,5518.0,P_1-3_2786,Bluetooth,5518.0,1.0
P_1-3_28_B_1PMIH0KB,19744.0,25200.0,5457.0,P_1-3_28,Bluetooth,5457.0,1.0
P_1-3_283_B_J52OIOV4,19535.0,25200.0,5666.0,P_1-3_283,Bluetooth,5666.0,1.0
P_1-3_2881_B_KAXEDOZK,18242.0,25200.0,6959.0,P_1-3_2881,Bluetooth,6959.0,1.0
P_1-3_2955_B_ECQ4MNWI,18383.0,25200.0,6818.0,P_1-3_2955,Bluetooth,6818.0,1.0
P_1-3_2985_L_KJD1BDLH,19010.0,25200.0,6191.0,P_1-3_2985,LTE,6191.0,1.0
P_1-3_3046_B_ZRALZIGA,18114.0,25200.0,7087.0,P_1-3_3046,Bluetooth,7087.0,1.0
P_1-3_3076_B_A5PYQS55,18964.0,25200.0,6237.0,P_1-3_3076,Bluetooth,6237.0,1.0
P_1-3_3132_B_FCPCJXPB,18868.0,25200.0,6333.0,P_1-3_3132,Bluetooth,6333.0,1.0
P_1-3_3135_B_EMY6VXSE,19795.0,25200.0,5406.0,P_1-3_3135,Bluetooth,5406.0,1.0
P_1-3_3245_L_XV8LO9XY,19299.0,25200.0,5902.0,P_1-3_3245,LTE,5902.0,1.0
P_1-3_3253_L_WLCLT9BN,19260.0,25200.0,5941.0,P_1-3_3253,LTE,5941.0,1.0
P_1-3_3339_L_WGX0A3MO,18622.0,25200.0,6579.0,P_1-3_3339,LTE,6579.0,1.0
P_1-3_3410_B_1609WCQ9,19620.0,25200.0,5581.0,P_1-3_3410,Bluetooth,5581.0,1.0
P_1-3_3457_B_02JNB1L2,18437.0,25200.0,6764.0,P_1-3_3457,Bluetooth,6764.0,1.0
P_1-3_3494_L_X8VCFIR6,19529.0,25200.0,5672.0,P_1-3_3494,LTE,5672.0,1.0
P_1-3_3536_B_MILXUO7L,19577.0,25200.0,5624.0,P_1-3_3536,Bluetooth,5624.0,1.0
P_1-3_3579_L_L0BOJUYY,19125.0,25200.0,6076.0,P_1-3_3579,LTE,6076.0,1.0
P_1-3_3755_L_LQ4XZV7F,19882.0,25200.0,5319.0,P_1-3_3755,LTE,5442.0,0.9773980154355016
P_1-3_3759_B_W80V3B83,18329.0,25200.0,6872.0,P_1-3_3759,Bluetooth,6872.0,1.0
P_1-3_3776_B_5QHZ84QF,19100.0,25200.0,6101.0,P_1-3_3776,Bluetooth,6101.0,1.0
P_1-3_3793_L_0KIITIE5,18916.0,25200.0,6285.0,P_1-3_3793,LTE,6285.0,1.0
P_1-3_3834_L_KR5FH1X4,18079.0,25200.0,7122.0,P_1-3_3834,LTE,7122.0,1.0
P_1-3_3901_B_T4FYDK3Q,18674.0,25200.0,6527.0,P_1-3_3901,Bluetooth,6527.0,1.0
