id,start_timestep,last_timestep,total_time,user_id,protocol,ideal_duration,privacy_score
P845_B_6VXU4UVA,1,7200,7200,P845,Bluetooth,7200.0,1.0
P846_L_CUEV2G8V,1,7200,7200,P846,LTE,7200.0,1.0
P847_B_W54Q168F,1,7200,7200,P847,Bluetooth,7200.0,1.0
P848_B_TTR1Z6FB,1,7200,7200,P848,Bluetooth,7200.0,1.0
P849_L_0HGZ25NI,1,5211,5211,P849,LTE,7200.0,0.72375
P85_B_XZ41LQJM,1,7200,7200,P85,Bluetooth,7200.0,1.0
P850_B_3X2VIT62,1,7200,7200,P850,Bluetooth,7200.0,1.0
P851_L_FNL476BZ,1,3417,3417,P851,LTE,7200.0,0.47458333333333336
P852_L_1FC7H8RB,1,7200,7200,P852,LTE,7200.0,1.0
P853_L_17G9H3QQ,1,7200,7200,P853,LTE,7200.0,1.0
P854_B_J6TACD2Z,1,7200,7200,P854,Bluetooth,7200.0,1.0
P855_B_R1COZVTI,1,7200,7200,P855,Bluetooth,7200.0,1.0
P856_B_ELZSZOVV,1,7200,7200,P856,Bluetooth,7200.0,1.0
P857_B_H6E4X2UK,1,7200,7200,P857,Bluetooth,7200.0,1.0
P858_L_YVCH9L46,1,7200,7200,P858,LTE,7200.0,1.0
P859_B_UNUKF6M9,1762,6195,4434,P859,Bluetooth,7200.0,0.6158333333333333
P86_L_IOP9L0DU,1,7200,7200,P86,LTE,7200.0,1.0
P860_L_WOK9UOCW,1,7200,7200,P860,LTE,7200.0,1.0
P861_L_1WED8QV2,1,7200,7200,P861,LTE,7200.0,1.0
P862_L_ELRR9CTC,1,7200,7200,P862,LTE,7200.0,1.0
P863_L_DO1M12DF,1,7200,7200,P863,LTE,7200.0,1.0
P864_B_9GDWNWWX,1,7200,7200,P864,Bluetooth,7200.0,1.0
P865_L_PPHSJWR3,1,7200,7200,P865,LTE,7200.0,1.0
P866_L_TF08UB45,1,7075,7075,P866,LTE,7200.0,0.9826388888888888
P867_L_HYB2BWTM,1,7200,7200,P867,LTE,7200.0,1.0
P868_L_RQBUVOQD,1,7200,7200,P868,LTE,7200.0,1.0
P869_B_YCO0RQGV,1,7200,7200,P869,Bluetooth,7200.0,1.0
P87_L_KNAO2AXV,1,7200,7200,P87,LTE,7200.0,1.0
P870_B_P2DWAS9D,1,7200,7200,P870,Bluetooth,7200.0,1.0
P871_L_A8ISY48U,1,7200,7200,P871,LTE,7200.0,1.0
P872_B_YXUGA5D5,1,7200,7200,P872,Bluetooth,7200.0,1.0
P873_B_FQZMAWFE,1,7200,7200,P873,Bluetooth,7200.0,1.0
P874_B_S9UBZ4TV,1,7200,7200,P874,Bluetooth,7200.0,1.0
P875_L_2ABLQLOH,1,7200,7200,P875,LTE,7200.0,1.0
P876_L_QJFKCBUN,1,7200,7200,P876,LTE,7200.0,1.0
P877_L_NCWDU4VW,1,7200,7200,P877,LTE,7200.0,1.0
P878_L_06V29673,1,6474,6474,P878,LTE,7200.0,0.8991666666666667
P879_B_B1934O16,1,7200,7200,P879,Bluetooth,7200.0,1.0
P88_B_A6CLFJCL,1,7200,7200,P88,Bluetooth,7200.0,1.0
P880_B_YKTPKBJ2,1,7200,7200,P880,Bluetooth,7200.0,1.0
P881_L_3SB6BW51,1,7200,7200,P881,LTE,7200.0,1.0
P882_B_0R68HV02,1,7200,7200,P882,Bluetooth,7200.0,1.0
P883_L_MQ8M3VWS,1,7200,7200,P883,LTE,7200.0,1.0
P884_L_9T74TBWT,1,7200,7200,P884,LTE,7200.0,1.0
P885_B_RHQ6OWHH,1,7200,7200,P885,Bluetooth,7200.0,1.0
P886_L_AQAQSFUB,1,7200,7200,P886,LTE,7200.0,1.0
P887_B_9633U9AL,1,7200,7200,P887,Bluetooth,7200.0,1.0
P888_L_GUOJ8VB8,3131,6642,3512,P888,LTE,7200.0,0.48777777777777775
P889_B_VW1O2JZA,1,7077,7077,P889,Bluetooth,7200.0,0.9829166666666667
P89_B_RW0ZYKQL,1,7200,7200,P89,Bluetooth,7200.0,1.0
P890_B_DV6IX4Z5,1,7200,7200,P890,Bluetooth,7200.0,1.0
P891_B_HB6GTB9V,1,7200,7200,P891,Bluetooth,7200.0,1.0
P892_B_DAGBWPR9,1,7200,7200,P892,Bluetooth,7200.0,1.0
P893_B_1PQ5VCR9,1,7200,7200,P893,Bluetooth,7200.0,1.0
P894_B_OB2NICJS,1,7200,7200,P894,Bluetooth,7200.0,1.0
P895_B_MF17P1IP,1,7200,7200,P895,Bluetooth,7200.0,1.0
P896_L_GOKMYYSR,1,7200,7200,P896,LTE,7200.0,1.0
P897_B_5TB0HPBR,1,7200,7200,P897,Bluetooth,7200.0,1.0
P898_B_QEG9NCPO,1,3946,3946,P898,Bluetooth,7200.0,0.5480555555555555
P899_B_LVIZA05S,1,5011,5011,P899,Bluetooth,7200.0,0.6959722222222222
P9_B_8R3BVE37,1,7200,7200,P9,Bluetooth,7200.0,1.0
P90_L_7EB0GWMR,1639,7200,5562,P90,LTE,7200.0,0.7725
P900_B_TRCSBT9H,1,3887,3887,P900,Bluetooth,7200.0,0.5398611111111111
P901_B_F2T5R8KJ,1,7200,7200,P901,Bluetooth,7200.0,1.0
P902_L_XPX8DHN3,1,7200,7200,P902,LTE,7200.0,1.0
P903_B_HWUG2UWI,1,7200,7200,P903,Bluetooth,7200.0,1.0
P904_B_M49KQ8FM,1,7200,7200,P904,Bluetooth,7200.0,1.0
P905_B_CXIIFT23,1,7200,7200,P905,Bluetooth,7200.0,1.0
P906_B_X546UF1M,1,7200,7200,P906,Bluetooth,7200.0,1.0
P907_B_S4DMZ72H,1,7200,7200,P907,Bluetooth,7200.0,1.0
P908_L_KMBCIL2N,1,4398,4398,P908,LTE,7200.0,0.6108333333333333
P909_B_R2F4RMTF,1,7200,7200,P909,Bluetooth,7200.0,1.0
P91_L_8QFMN6KQ,2935,7200,4266,P91,LTE,7200.0,0.5925
P910_L_SLQAUA8Q,1,7200,7200,P910,LTE,7200.0,1.0
P911_L_4MWTSO76,1,7200,7200,P911,LTE,7200.0,1.0
P912_B_P4QD1EOD,1,7200,7200,P912,Bluetooth,7200.0,1.0
P913_B_7KTXTREY,1,7200,7200,P913,Bluetooth,7200.0,1.0
P914_L_04QLCU3S,3042,7200,4159,P914,LTE,7200.0,0.5776388888888889
P915_B_5OOHE69W,1,7200,7200,P915,Bluetooth,7200.0,1.0
P916_B_FRNOGOMY,1,7200,7200,P916,Bluetooth,7200.0,1.0
P917_B_PDO5YDHI,1,6721,6721,P917,Bluetooth,7200.0,0.9334722222222223
P918_B_1NLFMXJF,1,7200,7200,P918,Bluetooth,7200.0,1.0
P919_L_DXFGVXYP,1,7200,7200,P919,LTE,7200.0,1.0
P92_B_J4S702HM,1,7200,7200,P92,Bluetooth,7200.0,1.0
P920_L_45DGZPIQ,1,6695,6695,P920,LTE,7200.0,0.9298611111111111
P921_L_5ZKOITY5,1,7200,7200,P921,LTE,7200.0,1.0
P922_B_KSFS5JPC,1,7200,7200,P922,Bluetooth,7200.0,1.0
P923_L_3PNQ1MLO,1,7200,7200,P923,LTE,7200.0,1.0
P924_B_DI8AU7VO,1,7200,7200,P924,Bluetooth,7200.0,1.0
P925_B_MS458UOM,1,7200,7200,P925,Bluetooth,7200.0,1.0
P926_L_G49XROWX,1,5358,5358,P926,LTE,7200.0,0.7441666666666666
P927_L_P1I6MV8N,1,3181,3181,P927,LTE,7200.0,0.44180555555555556
P928_B_1PJHVGF4,1,7200,7200,P928,Bluetooth,7200.0,1.0
P929_B_RT0X8NP8,1,7200,7200,P929,Bluetooth,7200.0,1.0
P93_L_NSNUOCFZ,1,7123,7123,P93,LTE,7200.0,0.9893055555555555
P930_B_BTWC3J9I,1,7200,7200,P930,Bluetooth,7200.0,1.0
P931_B_ENS0C4VJ,1,7200,7200,P931,Bluetooth,7200.0,1.0
P932_B_828ESI7O,1,7200,7200,P932,Bluetooth,7200.0,1.0
P933_L_1W1JKJHF,1,7200,7200,P933,LTE,7200.0,1.0
P934_B_M5IV5K4M,1,7200,7200,P934,Bluetooth,7200.0,1.0
P935_L_213D57E4,1,7200,7200,P935,LTE,7200.0,1.0
P936_L_3F2P05UG,1,7200,7200,P936,LTE,7200.0,1.0
P937_B_9LP8FXXQ,1,7200,7200,P937,Bluetooth,7200.0,1.0
P938_B_TR3J3UAI,1,7200,7200,P938,Bluetooth,7200.0,1.0
P939_B_4PUC61DQ,1,7200,7200,P939,Bluetooth,7200.0,1.0
P94_L_BKRMCN55,1,7200,7200,P94,LTE,7200.0,1.0
P940_L_EBX8QG1V,1,6437,6437,P940,LTE,7200.0,0.8940277777777778
P941_B_LTTPGDQM,1,7200,7200,P941,Bluetooth,7200.0,1.0
P942_B_021VXFE2,1,6760,6760,P942,Bluetooth,7200.0,0.9388888888888889
P943_L_MW82UY1H,1,7200,7200,P943,LTE,7200.0,1.0
P944_B_1HI3T54S,1,7200,7200,P944,Bluetooth,7200.0,1.0
P945_L_LEJ30T1R,1,7200,7200,P945,LTE,7200.0,1.0
P946_B_PISO6KHO,1,7200,7200,P946,Bluetooth,7200.0,1.0
P947_B_GLRNK440,1,7200,7200,P947,Bluetooth,7200.0,1.0
P948_B_REG503CW,1,7200,7200,P948,Bluetooth,7200.0,1.0
P949_B_KUVRDMHH,1,7200,7200,P949,Bluetooth,7200.0,1.0
P95_L_92VQ1E0T,1,7200,7200,P95,LTE,7200.0,1.0
P950_L_Q71T8HPV,1,7200,7200,P950,LTE,7200.0,1.0
P951_B_UGBTJCIH,1,7200,7200,P951,Bluetooth,7200.0,1.0
P952_B_LHKKEVDV,1,7200,7200,P952,Bluetooth,7200.0,1.0
P953_L_AV7KR6C4,1,7200,7200,P953,LTE,7200.0,1.0
P954_L_4ZWFSW0S,1,7200,7200,P954,LTE,7200.0,1.0
P955_B_ER2IQPOV,1,7200,7200,P955,Bluetooth,7200.0,1.0
P956_B_FA2D5ONU,1,7200,7200,P956,Bluetooth,7200.0,1.0
P957_L_2I5SPPET,1,7200,7200,P957,LTE,7200.0,1.0
P958_L_RUVDU5CW,1,7200,7200,P958,LTE,7200.0,1.0
P959_B_II9Z8G9C,1,7200,7200,P959,Bluetooth,7200.0,1.0
P96_B_EBZLVA2Y,1,7200,7200,P96,Bluetooth,7200.0,1.0
P960_B_NMVNFOIL,1,7200,7200,P960,Bluetooth,7200.0,1.0
P961_L_0AI6E137,1,7200,7200,P961,LTE,7200.0,1.0
P962_L_L5TAFYCA,1,7200,7200,P962,LTE,7200.0,1.0
P963_B_AEA2P6EN,1,7200,7200,P963,Bluetooth,7200.0,1.0
P964_L_H1D7BSK4,1,7200,7200,P964,LTE,7200.0,1.0
P965_B_552Q3WL1,1,7200,7200,P965,Bluetooth,7200.0,1.0
P966_L_7TNTTOT5,1,7200,7200,P966,LTE,7200.0,1.0
P967_B_GPOHHV5Z,1,7200,7200,P967,Bluetooth,7200.0,1.0
P968_B_9QWOHDTW,1204,7200,5997,P968,Bluetooth,7200.0,0.8329166666666666
P969_L_WDIGQW33,1,5965,5965,P969,LTE,7200.0,0.8284722222222223
P97_B_25JPCNZQ,1,7200,7200,P97,Bluetooth,7200.0,1.0
P970_L_6FL6CZUH,1,7200,7200,P970,LTE,7200.0,1.0
P971_B_S4YI0GA2,1,7200,7200,P971,Bluetooth,7200.0,1.0
P972_L_ANEKLGYC,1,7200,7200,P972,LTE,7200.0,1.0
P973_B_6ON9L7DZ,1,7200,7200,P973,Bluetooth,7200.0,1.0
P974_B_ZC8G1F4Q,1,7200,7200,P974,Bluetooth,7200.0,1.0
P975_B_KLBU0DI7,1,7200,7200,P975,Bluetooth,7200.0,1.0
P976_L_H62XHB5S,1,5583,5583,P976,LTE,7200.0,0.7754166666666666
P977_B_738BOMT5,1,7200,7200,P977,Bluetooth,7200.0,1.0
P978_L_HDVT2ICU,1,7200,7200,P978,LTE,7200.0,1.0
P979_L_KMAUF90V,1,4523,4523,P979,LTE,7200.0,0.6281944444444445
P98_B_RZSQCL8C,1,7200,7200,P98,Bluetooth,7200.0,1.0
P980_L_T7PKN4GJ,2596,7200,4605,P980,LTE,7200.0,0.6395833333333333
P981_L_PRB2A1FA,1,7200,7200,P981,LTE,7200.0,1.0
P982_L_QKMUH57P,1225,7200,5976,P982,LTE,7200.0,0.83
P983_B_MPSTIMHI,1,7200,7200,P983,Bluetooth,7200.0,1.0
P984_B_5CZICQ59,1,7200,7200,P984,Bluetooth,7200.0,1.0
P985_B_2FEZ8ACT,1,7200,7200,P985,Bluetooth,7200.0,1.0
P986_L_LYYHDQ6R,1,7200,7200,P986,LTE,7200.0,1.0
P987_B_GXRDYP3F,1,7200,7200,P987,Bluetooth,7200.0,1.0
P988_B_1DGXHN66,1,6479,6479,P988,Bluetooth,7200.0,0.8998611111111111
P989_L_884IGYJU,1,7200,7200,P989,LTE,7200.0,1.0
P99_L_HLU3J2M9,1,6590,6590,P99,LTE,7200.0,0.9152777777777777
P990_L_HOVTH45Q,3480,7200,3721,P990,LTE,7200.0,0.5168055555555555
P991_L_B3T4WCLH,1,7200,7200,P991,LTE,7200.0,1.0
P992_B_DH61DLPP,1,7200,7200,P992,Bluetooth,7200.0,1.0
P993_B_S4NJAW70,1,7200,7200,P993,Bluetooth,7200.0,1.0
P994_B_6SKS2JTN,1,7200,7200,P994,Bluetooth,7200.0,1.0
P995_L_P4ZAIBSN,1,7200,7200,P995,LTE,7200.0,1.0
P996_B_GSZ2CYOR,1611,7200,5590,P996,Bluetooth,7200.0,0.7763888888888889
P997_L_GFX6YWBC,1,7200,7200,P997,LTE,7200.0,1.0
P998_L_DBD8TE4I,1,7200,7200,P998,LTE,7200.0,1.0
P999_B_R6SWXA5G,1,7200,7200,P999,Bluetooth,7200.0,1.0
