user_id,neighbor_id,periods,total_timesteps
P_1-1-pt_5078,P_1-1-pt_7208,"[{'start_time': 21302, 'end_time': 21329, 'duration': 28}, {'start_time': 21302, 'end_time': 21329, 'duration': 28}]",7162
P_1-1-pt_5078,P_1-1-pt_6538,"[{'start_time': 21494, 'end_time': 21519, 'duration': 26}, {'start_time': 21494, 'end_time': 21519, 'duration': 26}]",7162
P_1-1-pt_5078,P_1-1-pt_4901,"[{'start_time': 21587, 'end_time': 21614, 'duration': 28}, {'start_time': 21587, 'end_time': 21614, 'duration': 28}, {'start_time': 22192, 'end_time': 22219, 'duration': 28}, {'start_time': 22192, 'end_time': 22219, 'duration': 28}]",7162
P_1-1-pt_5078,P_1-1-pt_8682,"[{'start_time': 21652, 'end_time': 21677, 'duration': 26}, {'start_time': 21652, 'end_time': 21677, 'duration': 26}]",7162
P_1-1-pt_5078,P_1-1-pt_7080,"[{'start_time': 23348, 'end_time': 23372, 'duration': 25}, {'start_time': 23348, 'end_time': 23372, 'duration': 25}, {'start_time': 24366, 'end_time': 24390, 'duration': 25}, {'start_time': 24366, 'end_time': 24390, 'duration': 25}]",7162
P_1-2_4734,P_1-2_4206,"[{'start_time': 19608, 'end_time': 19632, 'duration': 25}, {'start_time': 19608, 'end_time': 19632, 'duration': 25}, {'start_time': 21066, 'end_time': 21090, 'duration': 25}, {'start_time': 21066, 'end_time': 21090, 'duration': 25}, {'start_time': 22549, 'end_time': 22573, 'duration': 25}, {'start_time': 22549, 'end_time': 22573, 'duration': 25}, {'start_time': 24007, 'end_time': 24031, 'duration': 25}, {'start_time': 24007, 'end_time': 24031, 'duration': 25}]",7159
P_1-2_4734,P_1-3_1500,"[{'start_time': 19730, 'end_time': 19755, 'duration': 26}, {'start_time': 19730, 'end_time': 19755, 'duration': 26}, {'start_time': 21183, 'end_time': 21208, 'duration': 26}, {'start_time': 21183, 'end_time': 21208, 'duration': 26}, {'start_time': 22621, 'end_time': 22645, 'duration': 25}, {'start_time': 22621, 'end_time': 22645, 'duration': 25}, {'start_time': 24074, 'end_time': 24098, 'duration': 25}, {'start_time': 24074, 'end_time': 24098, 'duration': 25}]",7159
P_1-2_4734,P_1-3_3901,"[{'start_time': 19793, 'end_time': 19818, 'duration': 26}, {'start_time': 19793, 'end_time': 19818, 'duration': 26}, {'start_time': 21247, 'end_time': 21271, 'duration': 25}, {'start_time': 21247, 'end_time': 21271, 'duration': 25}, {'start_time': 22686, 'end_time': 22711, 'duration': 26}, {'start_time': 22686, 'end_time': 22711, 'duration': 26}, {'start_time': 24140, 'end_time': 24164, 'duration': 25}, {'start_time': 24140, 'end_time': 24164, 'duration': 25}]",7159
P_1-2_4734,P_1-2_1420,"[{'start_time': 19886, 'end_time': 19911, 'duration': 26}, {'start_time': 19886, 'end_time': 19911, 'duration': 26}, {'start_time': 21344, 'end_time': 21369, 'duration': 26}, {'start_time': 21344, 'end_time': 21369, 'duration': 26}, {'start_time': 22803, 'end_time': 22828, 'duration': 26}, {'start_time': 22803, 'end_time': 22828, 'duration': 26}, {'start_time': 24261, 'end_time': 24286, 'duration': 26}, {'start_time': 24261, 'end_time': 24286, 'duration': 26}]",7159
P_1-2_4734,P_1-3_228,"[{'start_time': 19923, 'end_time': 19947, 'duration': 25}, {'start_time': 19923, 'end_time': 19947, 'duration': 25}, {'start_time': 21377, 'end_time': 21401, 'duration': 25}, {'start_time': 21377, 'end_time': 21401, 'duration': 25}, {'start_time': 22816, 'end_time': 22840, 'duration': 25}, {'start_time': 22816, 'end_time': 22840, 'duration': 25}, {'start_time': 24270, 'end_time': 24294, 'duration': 25}, {'start_time': 24270, 'end_time': 24294, 'duration': 25}]",7159
